hr,mon,tue,wed,thur,fri,sat,sun
0,7.3,17.9,25.2,21.8,18.0,21.3,8.4
1,6.6,19.8,18.8,25.6,21.1,19.7,7.9
2,7.7,21.0,19.0,24.8,20.0,19.4,7.6
3,6.3,19.3,20.2,20.6,21.0,17.3,5.8
4,7.4,17.4,15.8,17.6,17.0,12.0,6.0
5,6.8,12.7,15.0,13.5,13.8,12.0,7.2
6,7.6,11.1,13.8,13.9,10.8,10.7,6.2
7,8.3,10.3,12.0,12.3,10.6,9.7,4.6
8,11.0,10.6,12.0,10.3,10.0,6.8,6.2
9,9.1,8.1,8.6,10.1,11.5,6.1,5.2
10,8.9,8.6,8.0,8.0,10.0,6.0,5.0
11,7.2,7.9,5.9,6.5,6.8,4.7,4.0
12,5.4,4.6,3.9,6.3,5.4,5.0,3.0
13,6.1,4.8,4.6,5.3,3.8,3.4,3.0
14,6.3,4.1,6.2,3.6,5.0,3.8,2.6
15,5.0,6.3,5.1,5.0,5.3,3.3,3.7
16,5.0,6.1,4.8,5.3,5.5,4.2,3.1
17,6.6,6.9,6.9,10.0,6.9,4.4,4.0
18,10.2,10.1,9.2,11.5,8.0,4.9,4.3
19,14.7,13.1,16.0,19.1,14.8,5.9,4.8
20,16.9,17.7,20.2,17.5,19.3,8.2,5.3
21,19.7,16.8,23.6,21.4,17.6,7.1,8.0
22,19.0,22.1,24.1,21.6,22.0,8.2,6.0
23,19.7,20.7,19.9,24.6,19.3,8.1,8.1
